Entry, Tail, Size, Date,Resolution,Height,Width,Depth
EMD-7313,emd_7313_half_map_2.map.gz,9015102,2021-01-25,4.6,144.0,144.0,144.0
EMD-7326,emd_7326_half_map_1.map.gz,10634581,2018-01-10,4.0,152.0,152.0,152.0
EMD-7326,emd_7326_half_map_2.map.gz,10634317,2018-01-10,4.0,152.0,152.0,152.0
EMD-7329,emd_7329_half_map_1.map.gz,204243166,2018-02-19,3.2,400.0,400.0,400.0
EMD-7329,emd_7329_half_map_2.map.gz,203433043,2018-02-19,3.2,400.0,400.0,400.0
EMD-7330,emd_7330_half_map_1.map.gz,203583446,2018-02-19,3.8,400.0,400.0,400.0
EMD-7330,emd_7330_half_map_2.map.gz,203530775,2018-02-19,3.8,400.0,400.0,400.0
EMD-7331,emd_7331_half_map_1.map.gz,203809191,2018-02-19,3.9,400.0,400.0,400.0
EMD-7331,emd_7331_half_map_2.map.gz,203192371,2018-02-19,3.9,400.0,400.0,400.0
EMD-7334,emd_7334_half_map_1.map.gz,74906260,2020-08-04,3.9,288.0,288.0,288.0
EMD-7334,emd_7334_half_map_2.map.gz,74908746,2020-08-04,3.9,288.0,288.0,288.0
EMD-7335,emd_7335_half_map_1.map.gz,74873356,2020-08-04,3.5,288.0,288.0,288.0
EMD-7335,emd_7335_half_map_2.map.gz,74855872,2020-08-04,3.5,288.0,288.0,288.0
EMD-7337,emd_7337_half_map_1.map.gz,9028108,2019-12-01,4.6,144.0,144.0,144.0
EMD-7337,emd_7337_half_map_2.map.gz,9024239,2019-12-01,4.6,144.0,144.0,144.0
EMD-7341,emd_7341_half_map_1.map.gz,212147672,2018-02-12,3.24,384.0,384.0,384.0
EMD-7341,emd_7341_half_map_2.map.gz,212162991,2018-02-12,3.24,384.0,384.0,384.0
EMD-7348,emd_7348_half_map_1.map.gz,24479122,2018-03-13,3.5,200.0,200.0,200.0
EMD-7348,emd_7348_half_map_2.map.gz,24478915,2018-03-13,3.5,200.0,200.0,200.0
EMD-7443,emd_7443_half_map_1.map.gz,333712347,2019-12-01,3.0,448.0,448.0,448.0
EMD-7443,emd_7443_half_map_2.map.gz,333711524,2019-12-01,3.0,448.0,448.0,448.0
EMD-7444,emd_7444_half_map_1.map.gz,150428050,2019-12-01,3.0,364.0,364.0,364.0
EMD-7444,emd_7444_half_map_2.map.gz,150440072,2019-12-01,3.0,364.0,364.0,364.0
EMD-7446,emd_7446_half_map_1.map.gz,161872548,2019-11-21,6.5,512.0,512.0,512.0
EMD-7446,emd_7446_half_map_2.map.gz,161883938,2019-11-21,6.5,512.0,512.0,512.0
EMD-7450,emd_7450_half_map_1.map.gz,113838421,2019-05-06,4.4,380.0,380.0,380.0
EMD-7450,emd_7450_half_map_2.map.gz,113901630,2019-05-06,4.4,380.0,380.0,380.0
EMD-7451,emd_7451_half_map_1.map.gz,201106755,2019-05-06,4.6,400.0,400.0,400.0
EMD-7451,emd_7451_half_map_2.map.gz,201157529,2019-05-06,4.6,400.0,400.0,400.0
EMD-7469,emd_7469_half_map_1.map.gz,162133126,2019-11-21,4.5,512.0,512.0,512.0
EMD-7469,emd_7469_half_map_2.map.gz,162137035,2019-11-21,4.5,512.0,512.0,512.0
EMD-7528,emd_7528_half_map_1.map.gz,62002159,2019-01-14,2.8,256.0,256.0,256.0
EMD-7528,emd_7528_half_map_2.map.gz,62001578,2019-01-14,2.8,256.0,256.0,256.0
EMD-7535,emd_7535_half_map_1.map.gz,55657563,2018-05-31,3.7,250.0,250.0,250.0
EMD-7535,emd_7535_half_map_2.map.gz,55529182,2018-05-31,3.7,250.0,250.0,250.0
EMD-7536,emd_7536_half_map_1.map.gz,48481255,2018-05-31,3.9,250.0,250.0,250.0
EMD-7536,emd_7536_half_map_2.map.gz,48480271,2018-05-31,3.9,250.0,250.0,250.0
EMD-7541,emd_7541_half_map_1.map.gz,62108056,2019-05-06,2.4,256.0,256.0,256.0
EMD-7541,emd_7541_half_map_2.map.gz,62099245,2019-05-06,2.4,256.0,256.0,256.0
EMD-7543,emd_7543_half_map_1.map.gz,250894335,2018-07-05,3.1,1024.0,1024.0,1024.0
EMD-7543,emd_7543_half_map_2.map.gz,252526077,2018-07-05,3.1,1024.0,1024.0,1024.0
EMD-7544,emd_7544_half_map_1.map.gz,101649364,2018-06-03,3.36,320.0,320.0,320.0
EMD-7544,emd_7544_half_map_2.map.gz,101570963,2018-06-03,3.36,320.0,320.0,320.0
EMD-7550,emd_7550_half_map_1.map.gz,62128560,2019-05-06,2.4,256.0,256.0,256.0
EMD-7550,emd_7550_half_map_2.map.gz,62132482,2019-05-06,2.4,256.0,256.0,256.0
EMD-7551,emd_7551_half_map_1.map.gz,50681264,2019-05-06,3.0,256.0,256.0,256.0
EMD-7551,emd_7551_half_map_2.map.gz,50835101,2019-05-06,3.0,256.0,256.0,256.0
EMD-7562,emd_7562_half_map_1.map.gz,62124538,2019-11-12,3.5,256.0,256.0,256.0
EMD-7562,emd_7562_half_map_2.map.gz,62123487,2019-11-12,3.5,256.0,256.0,256.0
EMD-7567,emd_7567_half_map_1.map.gz,29361268,2018-12-29,3.24,288.0,288.0,288.0
EMD-7567,emd_7567_half_map_2.map.gz,29361461,2018-12-29,3.24,288.0,288.0,288.0
EMD-7568,emd_7568_half_map_1.map.gz,84557890,2018-05-12,4.2,300.0,300.0,300.0
EMD-7568,emd_7568_half_map_2.map.gz,84556214,2018-05-12,4.2,300.0,300.0,300.0
EMD-7569,emd_7569_half_map_1.map.gz,29414474,2018-12-29,3.24,288.0,288.0,288.0
EMD-7569,emd_7569_half_map_2.map.gz,29415146,2018-12-29,3.24,288.0,288.0,288.0
EMD-7571,emd_7571_half_map_1.map.gz,29445414,2018-12-29,3.24,288.0,288.0,288.0
EMD-7571,emd_7571_half_map_2.map.gz,29445500,2018-12-29,3.24,288.0,288.0,288.0
EMD-7572,emd_7572_half_map_1.map.gz,29387278,2018-12-29,3.32,288.0,288.0,288.0
EMD-7572,emd_7572_half_map_2.map.gz,29386105,2018-12-29,3.32,288.0,288.0,288.0
EMD-7573,emd_7573_half_map_1.map.gz,102875636,2018-04-04,3.2,320.0,320.0,320.0
EMD-7573,emd_7573_half_map_2.map.gz,102879047,2018-04-04,3.2,320.0,320.0,320.0
EMD-7574,emd_7574_half_map_1.map.gz,103049999,2018-04-04,3.9,320.0,320.0,320.0
EMD-7574,emd_7574_half_map_2.map.gz,103030765,2018-04-04,3.9,320.0,320.0,320.0
EMD-7575,emd_7575_half_map_1.map.gz,103038192,2018-04-04,3.9,320.0,320.0,320.0
EMD-7575,emd_7575_half_map_2.map.gz,102946863,2018-04-04,3.9,320.0,320.0,320.0
EMD-7576,emd_7576_half_map_1.map.gz,102990559,2019-05-06,4.5,320.0,320.0,320.0
EMD-7576,emd_7576_half_map_2.map.gz,102997203,2019-05-06,4.5,320.0,320.0,320.0
EMD-7577,emd_7577_half_map_1.map.gz,103004183,2018-04-04,3.3,320.0,320.0,320.0
EMD-7577,emd_7577_half_map_2.map.gz,103020794,2018-04-04,3.3,320.0,320.0,320.0
EMD-7578,emd_7578_half_map_1.map.gz,103187798,2018-04-04,3.8,320.0,320.0,320.0
EMD-7578,emd_7578_half_map_2.map.gz,103247565,2018-04-04,3.8,320.0,320.0,320.0
EMD-7579,emd_7579_half_map_1.map.gz,103142181,2018-04-05,4.6,320.0,320.0,320.0
EMD-7579,emd_7579_half_map_2.map.gz,102892558,2018-04-05,4.6,320.0,320.0,320.0
EMD-7580,emd_7580_half_map_1.map.gz,102910833,2019-05-06,10.6,320.0,320.0,320.0
EMD-7580,emd_7580_half_map_2.map.gz,102997143,2019-05-06,10.6,320.0,320.0,320.0
EMD-7581,emd_7581_half_map_1.map.gz,102905832,2019-05-06,5.3,320.0,320.0,320.0
EMD-7581,emd_7581_half_map_2.map.gz,102897016,2019-05-06,5.3,320.0,320.0,320.0
EMD-7582,emd_7582_half_map_1.map.gz,148034863,2018-04-04,4.4,360.0,360.0,360.0
EMD-7582,emd_7582_half_map_2.map.gz,147920426,2018-04-04,4.4,360.0,360.0,360.0
EMD-7583,emd_7583_half_map_1.map.gz,29420781,2018-12-29,3.31,288.0,288.0,288.0
EMD-7583,emd_7583_half_map_2.map.gz,29420487,2018-12-29,3.31,288.0,288.0,288.0
EMD-7584,emd_7584_half_map_1.map.gz,147536354,2019-05-06,6.6,360.0,360.0,360.0
EMD-7584,emd_7584_half_map_2.map.gz,147538647,2019-05-06,6.6,360.0,360.0,360.0
EMD-7585,emd_7585_half_map_1.map.gz,147670679,2019-05-06,4.4,360.0,360.0,360.0
EMD-7585,emd_7585_half_map_2.map.gz,147605418,2019-05-06,4.4,360.0,360.0,360.0
EMD-7586,emd_7586_half_map_1.map.gz,147995387,2019-05-06,6.2,360.0,360.0,360.0
EMD-7586,emd_7586_half_map_2.map.gz,147609181,2019-05-06,6.2,360.0,360.0,360.0
EMD-7589,emd_7589_half_map_1.map.gz,480413758,2018-12-29,2.73,720.0,720.0,720.0
EMD-7589,emd_7589_half_map_2.map.gz,480446463,2018-12-29,2.73,720.0,720.0,720.0
EMD-7592,emd_7592_half_map_1.map.gz,29340450,2018-12-11,3.24,288.0,288.0,288.0
EMD-7592,emd_7592_half_map_2.map.gz,29335476,2018-12-11,3.24,288.0,288.0,288.0
EMD-7593,emd_7593_half_map_1.map.gz,60267497,2018-12-11,3.25,384.0,384.0,384.0
EMD-7593,emd_7593_half_map_2.map.gz,60262602,2018-12-11,3.25,384.0,384.0,384.0
EMD-7598,emd_7598_half_map_1.map.gz,60244175,2018-12-11,3.75,384.0,384.0,384.0
EMD-7598,emd_7598_half_map_2.map.gz,60241781,2018-12-11,3.75,384.0,384.0,384.0
EMD-7599,emd_7599_half_map_1.map.gz,480679647,2018-12-11,2.17,720.0,720.0,720.0
EMD-7599,emd_7599_half_map_2.map.gz,480683204,2018-12-11,2.17,720.0,720.0,720.0
EMD-7600,emd_7600_half_map_1.map.gz,60390149,2018-12-11,2.9,384.0,384.0,384.0
EMD-7600,emd_7600_half_map_2.map.gz,60386935,2018-12-11,2.9,384.0,384.0,384.0
EMD-7601,emd_7601_half_map_1.map.gz,147166076,2019-05-06,7.6,360.0,360.0,360.0
EMD-7601,emd_7601_half_map_2.map.gz,147145996,2019-05-06,7.6,360.0,360.0,360.0
EMD-7602,emd_7602_half_map_1.map.gz,147656400,2019-05-06,5.5,360.0,360.0,360.0
EMD-7602,emd_7602_half_map_2.map.gz,147795349,2019-05-06,5.5,360.0,360.0,360.0
EMD-7603,emd_7603_half_map_1.map.gz,147161720,2019-05-06,13.2,360.0,360.0,360.0
EMD-7603,emd_7603_half_map_2.map.gz,147130036,2019-05-06,13.2,360.0,360.0,360.0
EMD-7604,emd_7604_half_map_1.map.gz,147886667,2019-05-06,8.1,360.0,360.0,360.0
EMD-7604,emd_7604_half_map_2.map.gz,147338960,2019-05-06,8.1,360.0,360.0,360.0
EMD-7605,emd_7605_half_map_1.map.gz,147196220,2019-05-06,8.8,360.0,360.0,360.0
EMD-7605,emd_7605_half_map_2.map.gz,147258151,2019-05-06,8.8,360.0,360.0,360.0
EMD-7606,emd_7606_half_map_1.map.gz,147438472,2019-05-06,9.3,360.0,360.0,360.0
EMD-7606,emd_7606_half_map_2.map.gz,147138512,2019-05-06,9.3,360.0,360.0,360.0
EMD-7607,emd_7607_half_map_1.map.gz,147564417,2019-05-06,4.6,360.0,360.0,360.0
EMD-7607,emd_7607_half_map_2.map.gz,147575920,2019-05-06,4.6,360.0,360.0,360.0
EMD-7608,emd_7608_half_map_1.map.gz,147469817,2019-05-06,7.9,360.0,360.0,360.0
EMD-7608,emd_7608_half_map_2.map.gz,147362717,2019-05-06,7.9,360.0,360.0,360.0
EMD-7614,emd_7614_half_map_1.map.gz,62000252,2019-01-14,2.8,256.0,256.0,256.0
EMD-7614,emd_7614_half_map_2.map.gz,61997856,2019-01-14,2.8,256.0,256.0,256.0
EMD-7615,emd_7615_half_map_1.map.gz,50829646,2019-01-14,4.6,128.0,128.0,128.0
EMD-7615,emd_7615_half_map_2.map.gz,50774559,2019-01-14,4.6,128.0,128.0,128.0
EMD-7616,emd_7616_half_map_1.map.gz,62130318,2019-01-14,2.5,256.0,256.0,256.0
EMD-7616,emd_7616_half_map_2.map.gz,62129008,2019-01-14,2.5,256.0,256.0,256.0
EMD-7617,emd_7617_half_map_1.map.gz,62061015,2019-01-14,2.5,256.0,256.0,256.0
EMD-7617,emd_7617_half_map_2.map.gz,62061083,2019-01-14,2.5,256.0,256.0,256.0
EMD-7632,emd_7632_half_map_1.map.gz,60318406,2019-07-15,2.76,352.0,352.0,352.0
EMD-7632,emd_7632_half_map_2.map.gz,60315041,2019-07-15,2.76,352.0,352.0,352.0
EMD-7633,emd_7633_half_map_1.map.gz,60297319,2019-07-15,2.86,352.0,352.0,352.0
EMD-7633,emd_7633_half_map_2.map.gz,60298646,2019-07-15,2.86,352.0,352.0,352.0
EMD-7634,emd_7634_half_map_1.map.gz,60140457,2019-07-15,3.56,352.0,352.0,352.0
EMD-7634,emd_7634_half_map_2.map.gz,60147307,2019-07-15,3.56,352.0,352.0,352.0
